Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,Chrome 73.0.3683.86,,2019-04-03 16:04:23,2019-04-03 16:05:21,"58,042s",PASSED
,,,,,,
Test Cases/Test - 1 By Tom,Chrome 73.0.3683.86,,2019-04-03 16:04:24,2019-04-03 16:05:04,"40,330s",PASSED
"openBrowser("""")",Chrome 73.0.3683.86,,2019-04-03 16:04:24,2019-04-03 16:04:54,"29,616s",PASSED
"navigateToUrl(""lifecharger.org"")",Chrome 73.0.3683.86,,2019-04-03 16:04:54,2019-04-03 16:05:03,"9,393s",PASSED
closeBrowser(),Chrome 73.0.3683.86,,2019-04-03 16:05:03,2019-04-03 16:05:04,"0,732s",PASSED
,,,,,,
Test Cases/Test Case 991,Chrome 73.0.3683.86,Using Branch,2019-04-03 16:05:04,2019-04-03 16:05:21,"16,536s",PASSED
"openBrowser(""https://www.katalon.com"")",Chrome 73.0.3683.86,,2019-04-03 16:05:04,2019-04-03 16:05:20,"15,720s",PASSED
closeBrowser(),Chrome 73.0.3683.86,,2019-04-03 16:05:20,2019-04-03 16:05:21,"0,605s",PASSED
