Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,Chrome 73.0.3683.86,,2019-04-03 16:57:06,2019-04-03 16:57:33,26.735s,PASSED
,,,,,,
Test Cases/Test - 1 By Tom,Chrome 73.0.3683.86,,2019-04-03 16:57:07,2019-04-03 16:57:24,16.965s,PASSED
"openBrowser("""")",Chrome 73.0.3683.86,,2019-04-03 16:57:08,2019-04-03 16:57:17,9.379s,PASSED
"navigateToUrl(""lifecharger.org"")",Chrome 73.0.3683.86,,2019-04-03 16:57:17,2019-04-03 16:57:23,6.374s,PASSED
closeBrowser(),Chrome 73.0.3683.86,,2019-04-03 16:57:23,2019-04-03 16:57:24,0.650s,PASSED
,,,,,,
Test Cases/Test Case 991,Chrome 73.0.3683.86,Using Branch,2019-04-03 16:57:24,2019-04-03 16:57:33,9.165s,PASSED
"openBrowser(""https://www.katalon.com"")",Chrome 73.0.3683.86,,2019-04-03 16:57:24,2019-04-03 16:57:33,8.299s,PASSED
closeBrowser(),Chrome 73.0.3683.86,,2019-04-03 16:57:33,2019-04-03 16:57:33,0.658s,PASSED
