Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,Chrome 73.0.3683.86,,2019-03-30 11:30:45,2019-03-30 11:31:20,"35,409s",PASSED
,,,,,,
Test Cases/Test - 1 By Tom,Chrome 73.0.3683.86,,2019-03-30 11:30:45,2019-03-30 11:31:20,"34,766s",PASSED
"openBrowser("""")",Chrome 73.0.3683.86,,2019-03-30 11:30:46,2019-03-30 11:31:05,"19,367s",PASSED
"navigateToUrl(""lifecharger.org"")",Chrome 73.0.3683.86,,2019-03-30 11:31:05,2019-03-30 11:31:19,"14,122s",PASSED
closeBrowser(),Chrome 73.0.3683.86,,2019-03-30 11:31:19,2019-03-30 11:31:20,"0,713s",PASSED
