Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,Chrome 73.0.3683.86,,2019-03-30 11:32:19,2019-03-30 11:32:36,"16,674s",PASSED
,,,,,,
Test Cases/Test - 1 By Tom,Chrome 73.0.3683.86,,2019-03-30 11:32:20,2019-03-30 11:32:36,"16,352s",PASSED
"openBrowser("""")",Chrome 73.0.3683.86,,2019-03-30 11:32:20,2019-03-30 11:32:26,"5,684s",PASSED
"navigateToUrl(""lifecharger.org"")",Chrome 73.0.3683.86,,2019-03-30 11:32:26,2019-03-30 11:32:35,"9,415s",PASSED
closeBrowser(),Chrome 73.0.3683.86,,2019-03-30 11:32:35,2019-03-30 11:32:36,"0,751s",PASSED
